idx,matchtype,partid,ppartid
199,1,n175,undefined
200,0,n174,n174
201,0,n173,n172
202,0,n179voice_overlap,n176
203,0,n179,n185
204,0,n178,n178
205,0,n177,n177
206,0,n177,n190
207,0,n176,n175
208,0,n181,n179
209,0,n181,n183
210,0,n180,n180
211,0,n182,n181
212,1,n184,undefined
213,0,n183,n182
214,1,n186voice_overlap,undefined
215,1,n186,undefined
216,0,n185,n184
217,0,n189,n188
218,0,n189,n193
219,0,n188,n187
220,0,n187,n186
221,0,n187,n189
222,0,n192,n191
223,1,n191,undefined
224,1,n190,undefined
225,1,n195,undefined
226,0,n194,n194
227,0,n193,n192
228,0,n199,n196
229,0,n199,n205
230,1,n199voice_overlap,undefined
231,0,n198,n198
232,0,n197,n197
233,0,n196,n195
234,0,n201,n199
235,0,n201,n202
236,0,n200,n200
237,0,n202,n201
238,1,n204,undefined
239,0,n203,n203
240,1,n206,undefined
241,1,n206voice_overlap,undefined
242,0,n205,n204
243,0,n209,n207
244,0,n209,n212
245,0,n208,n208
246,0,n208,n213
247,0,n207,n206
248,0,n207,n209
249,0,n211,n210
250,1,n210,undefined
251,1,n214,undefined
252,1,n213,undefined
253,0,n212,n211
254,0,n217,n215
255,1,n217voice_overlap,undefined
256,0,n216,n216
257,0,n215,n214
258,0,n219,n217
259,0,n219,n221
260,0,n218,n218
261,0,n220,n219
262,0,n223,n227
263,0,n222,n222
264,0,n221,n220
265,0,n226,n224
266,1,n226voice_overlap,undefined
267,0,n225,n225
268,0,n224,n223
269,0,n229,n231
270,0,n228,n228
271,0,n228,n232
272,0,n227,n226
273,0,n231,n230
274,0,n230,n229
275,1,n234,undefined
276,0,n233,n233
277,1,n232,undefined
278,0,n238,n235
279,0,n238,n247
280,1,n238voice_overlap,undefined
281,0,n237,n242
282,0,n236,n237
283,0,n236,n241
284,0,n235,n234
285,0,n241,n239
286,0,n241,n244
287,0,n240,n245
288,0,n239,n238
289,0,n239,n243
290,0,n243,n248
291,0,n242,n246
292,0,n246,n250
293,0,n245,n251
294,0,n244,n252
295,1,n249voice_overlap,undefined
296,1,n249,undefined
297,0,n248,n255
298,0,n247,n254
299,0,n253,n257
300,0,n252,n258
301,0,n251,n259
302,0,n250,n249
303,0,n250,n253
304,1,n256,undefined
305,1,n255,undefined
306,1,n254,undefined
307,0,n260,n264
308,0,n259,n263
309,1,n258,undefined
310,1,n257,undefined
311,0,n263,n261
312,0,n263,n269
313,1,n263voice_overlap,undefined
314,0,n262,n265
315,0,n261,n260
316,0,n261,n275
317,0,n265,n267
318,0,n264,n266
319,1,n266,undefined
320,1,n268,undefined
321,1,n267,undefined
322,1,n272voice_overlap,undefined
323,1,n272,undefined
324,0,n271,n271
325,0,n271,n278
326,0,n270,n270
327,0,n270,n277
328,0,n269,n268
329,0,n276,n273
330,0,n276,n280
331,0,n275,n282
332,0,n274,n274
333,0,n274,n281
