onset_sec,duration_sec,pitch,velocity,track,channel,id
147.17397,0.1,79,83,0,1,1485
147.17813,0.05,55,61,0,1,1486
147.29897,0.08229167,74,68,0,1,1487
147.42604,0.04375,71,66,0,1,1488
147.55208,0.07604167,67,70,0,1,1489
147.67917,0.23541667,54,55,0,1,1490
147.68854,0.03125,69,71,0,1,1491
147.80624,0.053125,62,56,0,1,1492
147.93854,0.052083332,57,58,0,1,1493
147.95103,0.042708334,81,75,0,1,1494
148.07187,0.042708334,62,56,0,1,1495
148.07916,0.030208332,81,74,0,1,1496
148.20416,0.05625,54,62,0,1,1497
148.20938,0.15625,81,85,0,1,1498
148.33646,0.10625,78,75,0,1,1499
148.46771,0.061458334,74,75,0,1,1500
148.59688,0.07395833,69,64,0,1,1501
148.71146,0.18125,55,58,0,1,1502
148.72084,0.03125,71,69,0,1,1503
148.83438,0.053125,62,61,0,1,1504
148.96458,0.059375,83,81,0,1,1505
148.97395,0.039583333,59,59,0,1,1506
149.10625,0.044791665,62,61,0,1,1507
149.10834,0.039583333,83,75,0,1,1508
149.22917,0.140625,83,91,0,1,1509
149.23958,0.05625,55,65,0,1,1510
149.35521,0.08125,79,80,0,1,1511
149.50417,0.05,74,46,0,1,1512
149.60938,0.05,71,71,0,1,1513
149.73228,0.077083334,75,84,0,1,1514
149.73647,0.114583336,48,66,0,1,1515
149.7375,0.047916666,52,51,0,1,1517
149.7375,0.10729167,57,61,0,1,1516
149.85938,0.08541667,76,84,0,1,1518
149.88853,0.0625,52,49,0,1,1519
149.9948,0.06875,72,78,0,1,1520
150.11667,0.06458333,69,74,0,1,1521
150.24374,0.18854167,50,68,0,1,1522
150.24374,0.059375,60,70,0,1,1523
150.24687,0.078125,71,84,0,1,1524
150.24896,0.083333336,57,70,0,1,1525
150.37917,0.125,72,84,0,1,1526
150.43333,0.3375,50,3,0,1,1527
150.49791,0.098958336,69,77,0,1,1528
150.61458,0.07395833,66,79,0,1,1529
150.74687,0.039583333,59,67,0,1,1530
150.75209,0.071875,67,79,0,1,1531
150.75833,0.055208333,55,64,0,1,1532
150.89272,0.10625,78,79,0,1,1533
151.01042,0.14270833,79,87,0,1,1534
151.13853,0.096875,78,84,0,1,1535
151.2552,0.055208333,43,73,0,1,1536
151.26353,0.08229167,79,90,0,1,1537
151.38437,0.058333334,55,68,0,1,1538
151.38542,0.088541664,74,75,0,1,1539
151.5125,0.038541667,71,69,0,1,1540
151.51666,0.048958335,54,64,0,1,1541
151.62813,0.041666668,67,74,0,1,1542
151.63437,0.034375,55,67,0,1,1543
151.7573,0.040625,69,80,0,1,1544
151.76666,0.046875,54,63,0,1,1545
151.88959,0.092708334,80,86,0,1,1546
152.00833,0.13958333,81,90,0,1,1547
152.13437,0.13854167,80,86,0,1,1548
152.26146,0.07083333,42,71,0,1,1549
152.26459,0.15625,81,91,0,1,1550
152.39062,0.09791667,54,66,0,1,1551
152.39479,0.13125,78,80,0,1,1552
152.50937,0.07604167,52,67,0,1,1553
152.51772,0.0625,74,79,0,1,1554
152.64479,0.046875,54,62,0,1,1555
152.65729,0.055208333,69,73,0,1,1556
152.75626,0.04375,55,58,0,1,1557
152.76979,0.034375,71,67,0,1,1558
152.91978,0.121875,82,81,0,1,1559
153.03021,0.140625,83,85,0,1,1560
153.1625,0.08020833,82,85,0,1,1561
153.27916,0.14375,83,91,0,1,1562
153.29688,0.045833334,43,64,0,1,1563
153.41354,0.08020833,79,78,0,1,1564
153.42397,0.042708334,55,63,0,1,1565
153.54167,0.041666668,74,75,0,1,1566
153.54478,0.09791667,54,71,0,1,1567
153.62813,0.058333334,55,61,0,1,1568
153.675,0.057291668,71,66,0,1,1569
153.71042,0.215625,48,62,0,1,1570
153.73438,0.22083333,52,64,0,1,1571
153.79062,0.14270833,57,78,0,1,1572
153.80624,0.088541664,75,79,0,1,1573
153.94063,0.134375,76,76,0,1,1574
154.0677,0.07604167,72,72,0,1,1575
154.17917,0.06979167,69,70,0,1,1576
154.21042,0.57708335,50,68,0,1,1577
154.27812,0.114583336,57,76,0,1,1578
154.3,0.06979167,60,78,0,1,1579
154.3052,0.08958333,71,79,0,1,1580
154.43541,0.104166664,72,79,0,1,1581
154.5375,0.108333334,69,70,0,1,1582
