idx,matchtype,partid,ppartid
2912,0,n2870,2870
2913,0,n2872,2872
2914,0,n2872,2877
2915,0,n2871,2871
2916,0,n2873,2873
2917,0,n2874,2874
2918,0,n2875,2875
2919,0,n2876,2876
2920,1,n2877,undefined
2921,0,n2879,2879
2922,0,n2878,2878
2923,0,n2880,2880
2924,0,n2881,2881
2925,0,n2882,2882
2926,0,n2884,2884
2927,0,n2883,2883
2928,0,n2885,2885
2929,0,n2886,2886
2930,0,n2887,2887
2931,0,n2888,2888
2932,0,n2889,2889
2933,0,n2890,2890
2934,0,n2891,2891
2935,0,n2892,2892
2936,0,n2893,2893
2937,0,n2894,2894
2938,0,n2895,2895
2939,0,n2896,2896
2940,0,n2897,2897
2941,0,n2898,2898
2942,0,n2899,2899
2943,0,n2900,2900
2944,0,n2901,2901
2945,0,n2902,2902
2946,0,n2903,2903
2947,0,n2905,2905
2948,0,n2904,2904
2949,1,n2906,undefined
2950,0,n2907,2907
2951,0,n2908,2906
2952,0,n2908,2908
2953,0,n2910,2910
2954,0,n2911,2911
2955,0,n2909,2909
2956,0,n2912,2912
2957,0,n2913,2913
2958,0,n2914,2914
2959,0,n2914,2917
2960,0,n2916,2916
2961,0,n2915,2915
2962,1,n2917,undefined
2963,0,n2918,2918
2964,0,n2919,2919
2965,0,n2920,2920
2966,0,n2921,2921
2967,0,n2922,2922
2968,0,n2923,2923
2969,0,n2924,2924
2970,0,n2924,2927
2971,0,n2925,2925
2972,1,n2927,undefined
2973,0,n2926,2926
2974,0,n2928,2928
2975,0,n2929,2929
2976,0,n2930,2930
2977,0,n2931,2931
2978,0,n2932,2932
2979,0,n2933,2933
2980,0,n2934,2934
2981,0,n2935,2935
2982,0,n2936,2936
2983,0,n2937,2937
2984,0,n2938,2938
2985,0,n2939,2939
2986,0,n2940,2940
2987,0,n2941,2941
2988,0,n2942,2942
2989,0,n2943,2943
2990,0,n2943,2944
2991,1,n2944,undefined
2992,0,n2945,2945
2993,0,n2946,2946
2994,0,n2947,2947
2995,0,n2948,2948
2996,0,n2949,2949
2997,0,n2950,2950
2998,0,n2952,2952
2999,0,n2951,2951
3000,0,n2951,2957
3001,0,n2953,2953
3002,0,n2954,2954
3003,0,n2955,2955
3004,0,n2959,2959
3005,0,n2958,2958
3006,0,n2956,2956
3007,1,n2957,undefined
3008,0,n2960,2960
3009,0,n2961,2961
3010,1,n2962,undefined
3011,0,n2966,2966
3012,0,n2965,2965
3013,0,n2964,2964
3014,0,n2963,2963
3015,2,undefined,50
3016,2,undefined,61
3017,2,undefined,91
3018,2,undefined,93
3019,2,undefined,108
3020,2,undefined,137
3021,2,undefined,266
3022,2,undefined,268
3023,2,undefined,295
3024,2,undefined,303
3025,2,undefined,309
3026,2,undefined,339
3027,2,undefined,380
3028,2,undefined,466
3029,2,undefined,475
3030,2,undefined,534
3031,2,undefined,537
3032,2,undefined,540
3033,2,undefined,639
3034,2,undefined,642
3035,2,undefined,643
3036,2,undefined,646
3037,2,undefined,650
3038,2,undefined,653
3039,2,undefined,753
3040,2,undefined,759
3041,2,undefined,803
3042,2,undefined,958
3043,2,undefined,1042
3044,2,undefined,1079
3045,2,undefined,1080
3046,2,undefined,1088
3047,2,undefined,1090
3048,2,undefined,1112
3049,2,undefined,1116
3050,2,undefined,1124
3051,2,undefined,1132
3052,2,undefined,1138
3053,2,undefined,1160
3054,2,undefined,1197
3055,2,undefined,1199
3056,2,undefined,1201
3057,2,undefined,1287
3058,2,undefined,1355
3059,2,undefined,1358
3060,2,undefined,1361
3061,2,undefined,1459
3062,2,undefined,1463
3063,2,undefined,1466
3064,2,undefined,1469
3065,2,undefined,1472
3066,2,undefined,1473
3067,2,undefined,1475
3068,2,undefined,1686
3069,2,undefined,1687
3070,2,undefined,1775
3071,2,undefined,1798
3072,2,undefined,1844
3073,2,undefined,1847
3074,2,undefined,1893
3075,2,undefined,1896
3076,2,undefined,1912
3077,2,undefined,1913
3078,2,undefined,1922
3079,2,undefined,1926
3080,2,undefined,2072
3081,2,undefined,2102
3082,2,undefined,2222
3083,2,undefined,2225
3084,2,undefined,2239
3085,2,undefined,2242
3086,2,undefined,2267
3087,2,undefined,2273
3088,2,undefined,2295
3089,2,undefined,2341
3090,2,undefined,2430
3091,2,undefined,2431
3092,2,undefined,2439
3093,2,undefined,2450
3094,2,undefined,2461
3095,2,undefined,2562
3096,2,undefined,2596
3097,2,undefined,2620
3098,2,undefined,2640
3099,2,undefined,2654
3100,2,undefined,2657
3101,2,undefined,2744
3102,2,undefined,2759
3103,2,undefined,2763
3104,2,undefined,2766
3105,2,undefined,2769
3106,2,undefined,2772
3107,2,undefined,2962
